id_salarie,age,anciennete,categorie,salaire,taux_cotis,encours
1,25,3,cadre,32473.0,0.1,9024.0
2,55,1,non_cadre,30037.0,0.06,1563.0
3,50,18,non_cadre,27021.0,0.06,23434.0
4,40,18,cadre,46185.0,0.1,70550.0
5,40,18,cadre,59238.0,0.1,117328.0
6,58,28,non_cadre,27717.0,0.06,45539.0
7,25,3,non_cadre,37382.0,0.06,5918.0
8,51,24,non_cadre,31504.0,0.06,53224.0
9,30,8,non_cadre,36340.0,0.06,19449.0
10,26,4,non_cadre,33262.0,0.06,6751.0
11,44,22,cadre,32909.0,0.1,65709.0
12,63,1,non_cadre,21571.0,0.06,1475.0
13,53,17,cadre,49325.0,0.1,90307.0
14,54,28,non_cadre,26231.0,0.06,51922.0
15,52,19,cadre,44206.0,0.1,69755.0
16,55,28,non_cadre,36503.0,0.06,68081.0
17,44,1,non_cadre,36427.0,0.06,1815.0
18,27,5,non_cadre,46692.0,0.06,13092.0
19,58,23,non_cadre,25750.0,0.06,39098.0
20,41,19,non_cadre,41293.0,0.06,51047.0
21,43,21,non_cadre,41242.0,0.06,41616.0
22,37,13,non_cadre,28638.0,0.06,19674.0
23,29,7,non_cadre,32980.0,0.06,15395.0
24,61,12,non_cadre,38449.0,0.06,23543.0
25,55,26,non_cadre,29649.0,0.06,43040.0
26,49,3,non_cadre,29193.0,0.06,4590.0
27,39,7,non_cadre,26463.0,0.06,9387.0
28,57,2,non_cadre,18712.0,0.06,2548.0
29,45,21,non_cadre,30426.0,0.06,31610.0
30,41,6,cadre,60142.0,0.1,36606.0
31,41,9,cadre,38086.0,0.1,36919.0
32,31,9,non_cadre,32643.0,0.06,14508.0
33,25,3,cadre,37188.0,0.1,11752.0
34,45,4,non_cadre,35248.0,0.06,7898.0
35,60,0,non_cadre,33047.0,0.06,0.0
36,24,2,cadre,56731.0,0.1,12697.0
37,58,27,non_cadre,29623.0,0.06,53631.0
38,57,16,cadre,47246.0,0.1,72529.0
39,33,11,non_cadre,34857.0,0.06,25974.0
40,49,6,non_cadre,31146.0,0.06,11796.0
41,29,7,cadre,34461.0,0.1,22952.0
42,54,4,cadre,43954.0,0.1,14633.0
43,52,11,non_cadre,26383.0,0.06,14396.0
